,Domain,Supergroup,Phylum,Worden_Taxonomy,Salmaso_Phyto,Salmaso_Taxonomy,Class,Order,Family,Genus,Species,ASV,Root,,Large_Scale,Worden_Phyto,Worden_Taxonomy2,All_Taxonomy,Diatoms_Curated,Diatoms_Curated_Top_10,Root_confidence,Domain_confidence,Supergroup_confidence,Phylum_confidence,Class_confidence,Order_confidence,Family_confidence,Genus_confidence,Species_confidence
7bb83201dcde4aacba571ebbd237b027,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,7bb83201dcde4aacba571ebbd237b027,Root,,Apicomplexa,,,Alveolata,,,73,73,73,73,73,73,73,,
7f16c3874e61a3b9ec6397cd1f05699e,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Gregarinomorphea_X,Gregarinomorphea_XX,Selenidium1,unclassified_Selenidium1,7f16c3874e61a3b9ec6397cd1f05699e,Root,,Apicomplexa,,,Alveolata,,,76.1,76.1,70.8,66.1,66.1,66.1,66.1,66.1,66.1
8328891bbfabb9fd1a6b93823410f59c,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,Eugregarinorida_EUG3,Eugregarinorida_EUG3_X,Eugregarinorida_EUG3_X_sp.,8328891bbfabb9fd1a6b93823410f59c,Root,,Apicomplexa,,,Alveolata,,,91.3,91.3,91.3,91.3,91.3,91.3,75.5,75.5,75.5
85d8fc3e2ffad50bf4e16536ecdcea12,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,Ganymedidae,Ganymedes,Ganymedes_sp.,85d8fc3e2ffad50bf4e16536ecdcea12,Root,,Apicomplexa,,,Alveolata,,,70.4,70.4,68.7,68.7,68.7,68.7,64.2,61.9,61.9
8a7658bbc6b2c7b89313b079b79a3fc3,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,8a7658bbc6b2c7b89313b079b79a3fc3,Root,,Apicomplexa,,,Alveolata,,,70.4,70.4,68.3,67,67,67,67,,
8e2e945406ad0b3c2406b7a1b5b725b5,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,8e2e945406ad0b3c2406b7a1b5b725b5,Root,,Apicomplexa,,,Alveolata,,,70.7,70.7,66.2,65.2,65.2,65.2,65.2,,
90ac5a6a5d2ba90cf20cf618d29c5388,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,90ac5a6a5d2ba90cf20cf618d29c5388,Root,,Apicomplexa,,,Alveolata,,,74.9,74.9,74.9,74.9,74.9,74.9,74.9,,
9608c8a78dc71ff253ed3005c50f1202,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,Polyplicariidae,Polyplicarium,Polyplicarium_sp.,9608c8a78dc71ff253ed3005c50f1202,Root,,Apicomplexa,,,Alveolata,,,71.1,71.1,68.4,65.8,64.3,64.3,64.3,64.3,62.8
b5ec912a61723b13f74243f6267ebef9,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Gregarinomorphea_X,Gregarinomorphea_XX,Selenidium1,Selenidium1_sp.,b5ec912a61723b13f74243f6267ebef9,Root,,Apicomplexa,,,Alveolata,,,79.8,79.8,77.2,76,76,76,76,76,74.8
c9ac4a8d77a8aa5077a448b23a7cac6e,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,Eugregarinorida_EUG3,Eugregarinorida_EUG3_X,Eugregarinorida_EUG3_X_sp.,c9ac4a8d77a8aa5077a448b23a7cac6e,Root,,Apicomplexa,,,Alveolata,,,86.1,86.1,85,85,85,85,78,78,78
